external oblique	배바깥빗근(외복사근)
internal oblique	배속빗근(내복사근)
sternohyoid	복장목뿔근(흉골설골근)
omohyoid	어깨목뿔근(견갑설골근)
sternothyroid	복장방패근(흉골갑상근)
thyrohyoid	방패목뿔근(갑상설골근)
latissimus dorsi	넓은등근(광배근)
pectoralis minor	작은가슴근(소흉근)
rhomboid major	큰마름근(대능형근)
rhomboid minor	작은마름근(소능형근)
scalenus posterior	뒤목갈비근(후사각근)
scalenus medius	중간목갈비근(중사각근)
scalenus anterior	앞목갈비근(전사각근)
serratus anterior	앞톱니근(전거근)
serratus posterior superior	위뒤톱니근(상후거근)
serratus posterior inferior	아래뒤톱니근(하후거근)
sternocleidomastoid	목빗근(흉쇄유돌근)
subclavius	빗장밑근(쇄골하근)
subscapularis	어깨밑근(견갑하근)
iliacus	엉덩근(장골근)
obturator internus	속폐쇄근(내폐쇄근)
obturator externus	바깥폐쇄근(외폐쇄근)
gluteus maximus	큰볼기근(대둔근)
gluteus medius	중간볼기근(중둔근)
gluteus minimus	작은볼기근(소둔근)
gemellus superior	위쌍둥이근(상쌍자근)
gemellus inferior	아래쌍둥이근(하쌍자근)
quadratus femoris	넙다리네모근(대퇴방형근)
piriformis	궁둥구멍근(이상근)
psoas major	큰허리근(대요근)
transversus abdominis	배가로근(복횡근)
pyramidalis	배세모근(추체근)
quadratus lumborum	허리네모근(요방형근)
semitendinosus	반힘줄근(반건양근)
tensor fasciae latae	넙다리근막긴장근(대퇴근막장근)
semimembranosus	반막근
pectineus	두덩근(치골근)
adductor brevis	짧은모음근(단내전근)
adductor longus	긴모음근(장내전근)
adductor magnus	큰모음근(대내전근)
adductor minimus	작은모음근(소내전근)
extensor hallucis longus	긴엄지폄근(장무지신근)
extensor digitorum longus	긴발가락폄근(장지신근)
fibularis tertius	셋째종아리근(제삼비골근)
fibularis longus	긴종아리근(장비골근)
fibularis brevis	짧은종아리근(단비골근)
soleus	가자미근(넙치근)
plantaris	장딴지빗근(족저근)
popliteus	오금근(슬와근)
splenius cervicis	목널판근(경판상근)
splenius capitis	머리널판근(두판상근)
iliocostalis lumborum	허리엉덩갈비근(요장늑근)
iliocostalis thoracis	등엉덩갈비근(흉장늑근)
iliocostalis cervicis	목엉덩갈비근(경장늑근)
longissimus thoracis	등가장긴근(흉최장근)
longissimus capitis	머리가장긴근(두최장근)
longissimus cervicis	목가장긴근(경최장근)
spinalis thoracis	등가시근(흉극근)
spinalis cervicis	목가시근(경극근)
semispinalis thoracis	등반가시근(흉반극근)
semispinalis cervicis	목반가시근(경반극근)
semispinalis capitis	머리반가시근(두반극근)
multifidus	뭇갈래근(다열근)
lumbar rotator	허리돌림근(요회선근)
thoracic rotator	등돌림근(흉회선근)
cervical rotator	목돌림근(경회선근)
rectus capitis posterior major	큰뒤머리곧은근(대후두직근)
rectus capitis posterior minor	작은뒤머리곧은근(소후두직근)
obliquus capitis superior	위머리빗근(상두사근)
obliquus capitis inferior	아래머리빗근(하두사근)
levator scapulae	어깨올림근(견갑거근)
supraspinatus	가시위근(극상근)
infraspinatus muscle	가시아래근(극하근)
teres major	큰원근(대원근)
teres minor	작은원근(소원근)
abductor pollicis brevis	짧은엄지벌림근(단무지외전근)
opponens pollicis	엄지맞섬근(무지대립근)
abductor digiti minimi	새끼벌림근(소지외전근)
flexor digiti minimi brevis	짧은새끼굽힘근(단소지굴근)
opponens digiti minimi	새끼맞섬근(소지대립근)
abductor hallucis	엄지발가락벌림근(무지외전근)
flexor digitorum brevis	짧은발가락굽힘근(단지굴근)
flexor accessorius	발바닥네모근(족저방형근)
lumbrical	벌레근(충양근)
lumbricals	벌레근(충양근)
plantar interosseous	발바닥쪽뼈사이근(족저골간근)
dorsal interossei	등쪽뼈사이근(배측골간근)
palmar interossei	손바닥쪽뼈사이근(장측골간근)
coracobrachialis	부리위팔근(오훼완근)
biceps brachii	위팔두갈래근(상완이두근)
triceps brachii	위팔세갈래근(상완삼두근)
anconeus	팔꿈치근(주근)
